FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         1.25%      39.649ms        74.97%        2.373s     791.134ms       0.000us         0.00%     368.164ms     122.721ms             3  
                          optimizer_step_with_closure_0         0.01%     223.000us        71.05%        2.249s     749.780ms       0.000us         0.00%     343.785ms     114.595ms             3  
                               Optimizer.step#Adam.step         1.33%      42.200ms        71.04%        2.249s     749.696ms       0.000us         0.00%     343.785ms     114.595ms             3  
                             training_step_and_backward         0.04%       1.301ms        66.47%        2.105s     701.500ms       0.000us         0.00%     330.339ms     110.113ms             3  
                                          training_step         0.01%     328.000us        38.89%        1.231s     410.359ms       0.000us         0.00%     329.441ms     109.814ms             3  
                        DistributedDataParallel.forward         3.75%     118.672ms        38.87%        1.231s     410.239ms       0.000us         0.00%     329.441ms     109.814ms             3  
                                               backward        27.05%     856.428ms        27.06%     856.647ms     285.549ms       0.000us         0.00%       3.000us       1.000us             3  
                                        cudaMemcpyAsync        16.64%     526.888ms        16.64%     526.888ms     150.582us       0.000us         0.00%       0.000us       0.000us          3499  
                                             aten::item         0.15%       4.766ms        15.15%     479.681ms     240.442us       0.000us         0.00%       1.849ms       0.927us          1995  
                              aten::_local_scalar_dense         0.36%      11.428ms        15.00%     474.994ms     238.092us       1.865ms         0.20%       1.865ms       0.935us          1995  
                                           aten::conv2d         0.02%     539.000us         7.26%     229.776ms       1.008ms       0.000us         0.00%     176.147ms     772.575us           228  
                                      aten::convolution         0.02%     772.000us         7.24%     229.237ms       1.005ms       0.000us         0.00%     176.147ms     772.575us           228  
                                     aten::_convolution         0.10%       3.252ms         7.22%     228.465ms       1.002ms       0.000us         0.00%     176.147ms     772.575us           228  
                                       cudaLaunchKernel         6.60%     209.005ms         6.60%     209.005ms      11.059us       0.000us         0.00%       0.000us       0.000us         18899  
                                aten::cudnn_convolution         4.56%     144.270ms         5.25%     166.062ms     728.342us     168.900ms        18.26%     168.900ms     740.789us           228  
                                         aten::randperm         2.46%      77.822ms         4.93%     155.933ms       3.249ms       0.000us         0.00%       0.000us       0.000us            48  
                                               aten::ne         1.01%      31.999ms         3.72%     117.763ms      34.194us      53.464ms         5.78%     106.928ms      31.048us          3444  
                               CudnnConvolutionBackward         0.04%       1.276ms         3.30%     104.447ms     535.626us       0.000us         0.00%     334.941ms       1.718ms           195  
                       aten::cudnn_convolution_backward         0.07%       2.194ms         3.26%     103.171ms     529.082us       0.000us         0.00%     334.941ms       1.718ms           195  
                                             aten::add_         2.18%      68.994ms         2.74%      86.887ms      55.061us      34.138ms         3.69%      34.138ms      21.634us          1578  
